Cases Lung Cancer per 100_000
Alabama,75.1
Alaska,69.8
Arkansas,77.7
California,51.6
Colorado,48.4
Connecticut,68.3
Delaware,83.5
Florida,68.7
Georgia,71
Hawaii,51.7
Idaho,54
Illinois,71.4
Indiana,77.2
Iowa,67.1
Kansas,68.4
Kentucky,97.2
Louisiana,77.5
Maine,80.1
Maryland,62.9
Massachusetts,64.9
Michigan,72
Minnesota,55.8
Mississippi,77.1
Missouri,77.9
Montana,60.8
Nebraska,61.3
Nevada,73.3
New Hampshire,66.8
New Jersey,64.5
New Mexico,43.9
New York,63
North Carolina,75.3
North Dakota,53
Ohio,72.8
Oklahoma,80.8
Oregon,64.4
Pennsylvania,70
Rhode Island,69.5
South Carolina,70.7
South Dakota,59.2
Tennessee,82.2
Texas,62
Utah,28
Vermont,79.2
Virginia,65.8
Washington,65.2
West Virginia,91
Wyoming,48.9
